fuente,producto_id,sku_id,nombre,marca,precio_ars,precio_lista,disponible,volumen_ml,precio_por_ml,categoria_raw,tipo_producto,linea_tipo,tipo_cabello,url
Farmacity,200788,200788,Acondicionador Fructis Liso Coco x 350 ml,Fructis,7990.0,7990.0,True,350.0,22.8286,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-fructis-liso-coco-x-350-ml/p
Farmacity,15062,34403,Acondicionador Aveno Restaurador Capilar x 250 ml,Aveno,22398.0,29864.0,True,250.0,89.592,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-reactivo-hidratante-y-emoliente-x-250-ml/p
Farmacity,8876,156328,Acondicionador Sedal Rizos Definidos x 340 ml,Sedal,5836.0,5836.0,True,340.0,17.1647,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,rizado,https://www.farmacity.com/acondicionador-rizos-definidos-botella-x-340-ml/p
Farmacity,701,132367,Acondicionador Dove Nutrición + Tri-Óleos x 200 ml,Dove,5788.0,5788.0,True,200.0,28.94,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-dove-oleo-nutricion-botella-x-200-ml/p
Farmacity,398,45397,Acondicionador para Bebé Johnson's Cabello Claro x 200 ml,Johnson's,5018.0,7168.0,True,200.0,25.09,> Bebés > Higiene del Bebé > Baño Del Bebé >,acondicionador,estandar,bebe,https://www.farmacity.com/acondicionador-para-bebe-cabello-claro-x-200-ml/p
Farmacity,244,126742,Acondicionador para Bebé Johnson's Original x 200 ml,Johnson's,5018.0,7168.0,True,200.0,25.09,> Bebés > Higiene del Bebé > Baño Del Bebé >,acondicionador,estandar,bebe,https://www.farmacity.com/acondicionardor-para-bebe-johnsons-original-x-200-ml/p
Farmacity,243573,243573,Acondicionador Sedal Luminous UV x 340 ml,Sedal,5837.0,5837.0,True,340.0,17.1676,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-sedal-luminous-uv-x-340-ml/p
Farmacity,239424,239424,Acondicionador Tío Nacho Henna Egipcia Efecto Anti Canas x 415 ml,Tío Nacho,8225.0,11750.0,True,415.0,19.8193,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-tio-nacho-anticanas-x-415-ml/p
Farmacity,238876,238876,Acondicionador Pantene Pro-V Miracles Volumen x 750 ml,Pantene,16733.0,16733.0,True,750.0,22.3107,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,profesional,general,https://www.farmacity.com/acondicionador-pantene-pro-v-miracles-volumen-x-750-ml/p
Farmacity,234284,234284,Acondicionador Pantene Pro-V Miracles Hidratante 200 ml,Pantene,3807.0,6345.0,True,200.0,19.035,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,profesional,seco_danado,https://www.farmacity.com/acondicionador-pantene-pro-v-miracles-hidrata-y-fortalece-x-200-ml/p
Farmacity,8873,156290,Acondicionador Sedal Ceramidas x 190 ml,Sedal,3907.0,3907.0,True,190.0,20.5632,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-ceramidas-x-190-ml/p
Farmacity,3842,137317,Acondicionador con Keratina x 350 ml,Capilatis,9900.0,9900.0,True,350.0,28.2857,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,tratado,https://www.farmacity.com/acondicionador-con-keratina-x-350-ml/p
Farmacity,232723,232723,Acondicionador Capilatis Natural Nutritivo x 420 ml,Capilatis,9700.0,9700.0,True,420.0,23.0952,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-capilatis-natural-nutritivo-x-420-ml/p
Farmacity,220327,220327,Acondicionador Pantene Brillo Extremo x 200 ml,Pantene,4697.0,4697.0,True,200.0,23.485,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-pantene-miracle-brillo-extremo-x-200-ml/p
Farmacity,215073,215073,Acondicionador Dove Regeneración + Retinol x 200 ml,Dove,5788.0,5788.0,True,200.0,28.94,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-dove-regeneracion-extrema-x-200-ml/p
Farmacity,8849,156327,Acondicionador Sedal Restauración Instantánea x 340 ml,Sedal,5836.0,5836.0,True,340.0,17.1647,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-sedal-restauracion-instantanea-botella-x-340-ml/p
Farmacity,250129,250129,Acondicionador Dove Regeneración + Retinol x 650 ml,Dove,16218.0,16218.0,True,650.0,24.9508,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-dove-regeneracion-retinol-x-650-ml/p
Farmacity,249903,249903,Acondicionador Primont Signature con Trufa Negra x 300 ml,Primont,24783.0,24783.0,True,300.0,82.61,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-primont-signature-con-trufa-negra-x-300-ml/p
Farmacity,248331,248331,Acondicionador Ice Professional Keep My Blonde x 250 ml,Ice,17500.0,25000.0,True,250.0,70.0,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,profesional,general,https://www.farmacity.com/acondicionador-ice-professional-keep-my-blonde-x-250-ml/p
Farmacity,244971,244971,Acondicionador Capilatis Ortiga Mujer x 350 ml,Capilatis,13000.0,13000.0,True,350.0,37.1429,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-ortiga-capilatis-mujer-x-350-ml/p
Farmacity,238877,238877,Acondicionador Pantene Pro-V Miracles Volumen x 200 ml,Pantene,3807.0,6345.0,True,200.0,19.035,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,profesional,general,https://www.farmacity.com/acondicionador-pantene-pro-v-miracles-volumen-x-200-ml/p
Farmacity,230668,230668,Acondicionador Veganis Double Trouble Ácido Hialurónico x 400 ml,Veganis,14616.0,14616.0,True,400.0,36.54,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-veganis-double-troublea-acido-hialuronico-x-400-ml/p
Farmacity,228965,228965,Acondicionador Solido Ruh Natural x 45 g,Ruh Natural,13508.0,13508.0,True,45.0,300.1778,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-solido-ruh-cabello-x-65-g/p
Farmacity,224527,224527,Acondicionador Anticaida Klorane x 200 ml,Klorane,28700.0,41000.0,True,200.0,143.5,> Dermocosmética > Pelo > Shampoos y Acondicionadores >,acondicionador,estandar,general,https://www.farmacity.com/balsamos-capilar-klorane-quinina-x-200-ml/p
Farmacity,221810,221810,Acondicionador Sedal Hialurónico + Vitamina A x 340 ml,Sedal,5841.0,5841.0,True,340.0,17.1794,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-sedal-acido-hialuronico-vitamina-a-x-340-ml/p
Farmacity,219383,219383,Acondicionador Alta Moda Acqua Shine x 300 ml,Alta Moda,4301.0,8602.0,True,300.0,14.3367,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-alta-moda-e-vegano-x-300-ml/p
Farmacity,217204,217204,Acondicionador Fructis Hair Food Banana x 300 ml,Fructis,4214.0,8428.0,True,300.0,14.0467,> Cuidado Capilar > Shampoo Y Acondicionador >,acondicionador,estandar,general,https://www.farmacity.com/acondicionador-fructis-hair-food-banana-x-300-ml/p
