fuente,producto_id,sku_id,nombre,marca,precio_ars,precio_lista,disponible,volumen_ml,precio_por_ml,categoria_raw,tipo_producto,linea_tipo,tipo_cabello,url
Jumbo,336033,335142,Shampoo Sedal Bomba Argan 190ml,SEDAL,180.39,14908.0,False,190.0,0.9494,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-sedal-bomba-argan-190ml/p
Jumbo,336031,335140,Shampoo Sedal Bomba Nutricion 190ml,SEDAL,180.39,14908.0,False,190.0,0.9494,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-sedal-bomba-nutricion-190ml/p
Jumbo,332082,331243,Shampoo Dove Reparacion Coco 200ml,DOVE,306.47,25328.0,False,200.0,1.5324,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-dove-reparacion-coco-200ml/p
Jumbo,312935,312173,Shampoo Biferdil 1007 400 Ml,BIFERDIL,12500.0,1033058.0,False,400.0,31.25,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-biferdil-1007-400-ml/p
Jumbo,263343,263128,Shampoo Capilatis Platinum X 370ml,CAPILATIS,403.84,33375.0,False,370.0,1.0915,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-capilatis-platinum-x-370ml/p
Jumbo,262714,262003,Shampoo Marc Anthony Argan 250ml,MARC ANTHONY,822.69,67991.0,False,250.0,3.2908,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-marc-anthony-argan-250ml/p
Jumbo,256894,256188,Shampoo Il Salone Mythic 500ml,IL SALONE,799.99,66115.0,False,500.0,1.6,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-il-salone-mythic-500ml/p
Jumbo,215573,232192,Shampoo Elvive Cosmetico  2 U,ELVIVE,13.67,13.67,False,,,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,profesional,general,https://www.jumbo.com.ar/shampoo-elvive-cosmetico-2-u-3-248138/p
Jumbo,179059,197021,Shampoo Capilatis Cosmético + Loción,CAPILATIS,18.09,18.09,False,,,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-capilatis-33-169275/p
Jumbo,178543,196164,Shampoo Capilatis Cosmético + Loción,CAPILATIS,17.15,17.15,False,,,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-capilatis-32-169281/p
Jumbo,146567,143476,Shampoo Herbal Ess Hidrasiaco 700ml Shampoo Herbal Essences Hidradisíaco 700 Ml,HERBAL ESSENCES,297.99,24627.0,False,700.0,0.4257,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-herbal-ess-hidrasiaco-700ml/p
Jumbo,119034,118064,Shampoo Flex X 250 Ml,FLEX,5.95,5.95,False,250.0,0.0238,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-flex-x-250-ml-4/p
Jumbo,115218,114264,Shampoo Dove X 3 Un Shampoo Dove Lisos Therapy X 400 Ml + Acondicionador X 250 Ml + Hebilla,DOVE,22.27,22.27,False,400.0,0.0557,> Perfumería > Cuidado Capilar > Shampoo >,acondicionador,estandar,general,https://www.jumbo.com.ar/shampoo-dove-x-3-un/p
Jumbo,111280,108521,Shampoo Hidrolavado Autopolish-cja-un.-1,AUTOPOLISH,73.95,6112.0,False,,,> Hogar y textil > Automotor > Limpieza >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-hidrolavado-autopolish-cja-un-1/p
Jumbo,107118,104385,Shampoo Nenin Familiar X 930ml Almendras Y Coco  Pvc 930 Ml.,NENNIN NATURESSENCE,4.13,4.13,False,930.0,0.0044,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-nenin-familiar-x-930ml/p
Jumbo,96702,94019,Shampoo Babelito-manzana-pvc-ml.-500,BABELITO,33.13,33.13,False,,,> Mundo Bebe > Higiene para el Bebe > Higiene del Bebé >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-babelito-manzana-pvc-ml-500/p
Jumbo,83576,80914,Shampoo Flex X 250 Ml,FLEX,6.59,6.59,False,250.0,0.0264,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-flex-x-250-ml-2/p
Jumbo,70802,67936,Shampoo Anticaspa Head & Shoulders,HEAD & SHOULDERS,24.05,24.05,False,,,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,anticaspa,https://www.jumbo.com.ar/shampoo-anticaspa-head-shoulders-19/p
Jumbo,44459,41630,Shampoo Elvive Oleo Extraordinario 750ml,ELVIVE,745.65,61624.0,False,750.0,0.9942,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,profesional,general,https://www.jumbo.com.ar/shampoo-elvive-oleo-extraordinario-750ml-2/p
Jumbo,41776,38940,Shampoo Fructis Oil Repair 350ml,FRUCTIS,262.17,21667.0,False,350.0,0.7491,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,profesional,general,https://www.jumbo.com.ar/shampoo-fructis-oil-repair-350ml-2/p
Jumbo,41764,38928,Shampoo Fructis Oil Repair 200ml,FRUCTIS,213.99,17685.0,False,200.0,1.0699,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,profesional,general,https://www.jumbo.com.ar/shampoo-fructis-oil-repair-200ml-2/p
Jumbo,40468,37633,Shampoo Elvive Arcilla Extra 400ml,ELVIVE,533.79,44115.0,False,400.0,1.3345,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,profesional,general,https://www.jumbo.com.ar/shampoo-elvive-arcilla-extra-400ml-2/p
Jumbo,40237,37403,Shampoo Elvive Arcilla Extra 200ml,ELVIVE,290.85,24037.0,False,200.0,1.4543,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,profesional,general,https://www.jumbo.com.ar/shampoo-elvive-arcilla-extra-200ml/p
Jumbo,40225,37391,Shampoo Elvive Arcilla Extra 75400ml,ELVIVE,745.65,61624.0,False,75400.0,0.0099,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,profesional,general,https://www.jumbo.com.ar/shampoo-elvive-arcilla-extra-75400ml/p
Jumbo,35722,32880,Shampoo Capilatis Nutritivo 420 Ml,CAPILATIS,381.67,31543.0,False,420.0,0.9087,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-capilatis-nutritivo-420-ml/p
Jumbo,34311,31469,Shampoo Aloe Vera 1 Lt,SIN MARCA,123.15,123.15,False,,,> Mascotas > Accesorios para Mascotas >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-aloe-vera-1-lt/p
Jumbo,33886,31044,Pediculicida Capilatis Shampoo 500 Ml,CAPILATIS,1800.0,148760.0,False,500.0,3.6,> Perfumería > Cuidado Capilar > Pediculosis >,shampoo,estandar,general,https://www.jumbo.com.ar/pediculicida-capilatis-shampoo-500-ml/p
Jumbo,31684,28843,Shampoo Elvive Color Vive 750ml,ELVIVE,683.47,56485.0,False,750.0,0.9113,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,profesional,tratado,https://www.jumbo.com.ar/shampoo-elvive-color-vive-750ml/p
Jumbo,31256,28415,Shampoo Elvive Kera Liso 400ml,ELVIVE,533.79,44115.0,False,400.0,1.3345,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,profesional,general,https://www.jumbo.com.ar/shampoo-elvive-kera-liso-400ml/p
Jumbo,29625,26787,Shampoo Herbal Essences 300 Ml,HERBAL ESSENCES,157.69,13032.0,False,300.0,0.5256,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-herbal-essences-3/p
Jumbo,29434,26597,Shampoo Familiar Ceramidas 1 L,PLUSBELLE,61.39,5074.0,False,1000.0,0.0614,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-familiar/p
Jumbo,19672,16837,Shampoo Sedal Pureza Detox 650ml,SEDAL,246.25,20351.0,False,650.0,0.3788,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-sedal-pureza-detox-650ml/p
Jumbo,13523,10720,Shampoo Capilatis-fortificado-pet-ml.-400,CAPILATIS,488.77,40394.0,False,,,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-capilatis-14/p
Jumbo,8039,5365,Shampoo Capilatis Manzanilla 500 Ml,CAPILATIS,632.73,52292.0,False,500.0,1.2655,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-capilatis-manzanilla-500-ml/p
Jumbo,8033,5359,Shampoo Capilatis Equilibrance 410 Cc,CAPILATIS,1952.87,161394.0,False,,,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-capilatis-equilibrance-410-cc/p
